,text,topic
1,Die Schuhe haben überhaupt nicht gepasst.,Passform
2,Sie waren viel zu klein. Ich musste sie in 2 Nummern größer nochmal bestellen,Passform
3,Die Größentabelle war totaler Müll. Trotz abgleich mit den Angaben des Verkäufers passen mir die Schuhe nicht,Passform
4,"Habe sonst immer eine 42, musste hier aber eine Nummer größer nehmen",Passform
5,Statt Schugrösse 43 mal wegen den Rezessionen 44 bestellt und sie passen gerade so. Auf jeden fall nix für dicke füsse.,Passform
6,Die Schuhe sind zu klein,Passform
7,Passt überhaupt nicht! ,Passform
8,"viel zu schmal! Die Länge ist ok, aber zu schmal geschnitten. Der Schuh drückt an der Seite - nicht tragbar",Passform
9,Zu Schmal,Passform
10,"Die Schnüren ist zu tief. Die Größe ist ok, aber man kann die Schuhe nicht weit genug zuschnüren. Schlüpfe jedes Mal fast raus wenn ich einen Schritt mache.",Passform
11,Die Schuhe fallen sehr groß aus. Habe die Schuhe nochmal zurück geschickt und 2 Nummern kleiner bestellt,Passform
12,Die Schuhe drücken und sind zu klein,Passform
13,Viel zu klein!,Passform
14,"Für was für Füße sind die Schuhe denn gemacht? Passen überhaupt nicht. Ich habe sie schon größer bestellt als ich normal trage, aber sie sind dennoch zu klein.",Passform
15,Die Schuhe sind sehr schlecht geschnitten.,Passform
16,"Zu groß, deshalb zurckgeschickt.",Passform
17,"Obwohl ich schon eine Schuhgröße größer bestellt habe sind sie viel zu eng. Selbst mit ganz geöffneter Schnürung ist der Schuh so eng, dass man nicht hineinschlüpfen konnte.",Passform
18,Ich hatte den gleichen Schuh bereits in 39 in einer anderen Farbe der gut gepasst hat. Diesmal ist die 39 zu klein.,Passform
19,Die Größe war nicht in Ordnung,Passform
20,Die Größe passt nicht wie erwartet....Der Sneaker drückt beim laufen,Passform
21,"Achtung bei der Größe! Habe von der Marke schon einige Schuhe bestellten weiß daher, dass sie recht klein ausfallen. Dieses Modell allerdings ist noch kleiner als normal",Passform
22,Leider hat der Schuh eine sehr große Form. Passt nicht,Passform
23,Die Größe wird auf der Seite falsch angegeben.,Passform
24,"Sehr klein. Sieht zwar gut aus, aber man bricht sich förmlich die Füße beim Gehen",Passform
25,Schuh passt nicht. Es drückt vorn bei den Zehen und das an und ausziehen bereitet große Probleme,Passform
26,Es wurde ein Schuh in 42 und einer in 45 geliefert.,Lieferung
27,Ich habe die Lieferung immer noch nicht bekommen,Lieferung
28,Seit 3 Wochen warte ich vergebens auf das Paket. Habe den Hersteller schon angeschrieben aber keine Reaktion,Lieferung
29,Die Schuhe sollten längst hier sein. Ich habe keine Sendungsnummer und auch Amazon kann mir nicht weiterhelfen,Lieferung
30,Das Geld ist weg und das Paket nicht da. Nie wieder!,Lieferung
31,Die Lieferung hat sehr lange gedauert,Lieferung
32,Das Paket war von außen beschädigt und auch die Schuhe haben etwas abbekommen. Schicke sie direkt wieder zurück,Lieferung
33,Die Lieferung ist noch nicht erfolgt. Warte nun seit 2 Wochen,Lieferung
34,Lieder sind sie nie angekommen.,Lieferung
35,"Lieferung dauert viel zu lang. Hat beim letzten Mal schon Probleme gegeben und jetzt schon wieder. Das war das letzte mal, dass ich bei dem Anbieter bestellt habe.",Lieferung
36,Kann leider nix dazu sagen da ich die Stiefel nie bekommen habe.,Lieferung
37,Das Produkt ist leider nie angekommen. Vom Verkäufer auch keine Reaktion…,Lieferung
38,Habe mir die Schuhe vor 4 Wochen bestellt und sind nie angekommen,Lieferung
39,"Leider habe ich die bestellte Ware nicht erhalten. Von der DHL hieß es, dass es nicht zustellbar gewesen wäre und ist daher zurückgeschickt worden.",Lieferung
40,Die Lieferung hat ewig gedauert und dann war das Paket auch noch ramponiert.,Lieferung
41,"Auf Anfrage behauptet der Verkäufer, dass das Paket zugestellt worden sei, doch ich habe nie etwas erhalten",Lieferung
42,"Kein Paket, keine Rückmeldung vom Verkäufer und kein Geld. 10/10",Lieferung
43,Ich habe das Paket nicht erhalten,Lieferung
44,"Ich habe jetzt den Verkäufer kontaktiert, da das Pakt nie ankam",Lieferung
45,Kann ich nichts zu sagen da sie nie angekommen sind. Aber wie immer alles sehr kulant und schnell abgewickelt,Lieferung
46,"Obwohl ich bereits eine Schuhgröße größer bestellt habe und die Schnürung ganz geöffnet habe, ist der Übergang vom Schaft zum Schuh so eng, dass man nicht hineinschlüpfen konnte.",Passform
47,Kann leider nix dazu sagen da ich die Kopfhörer nicht an die Füße meiner Tochter bekomm die ich statt der Stiefel bekommen habe . Schade,Lieferung
48,"Die Tasche ansich ist recht schön, nur leider hat sich nach 3 bis 4 Monaten schon der Gurt gelöst. Die Beschichtung hat sich gelöst und der Gurt ist, logischerweise ohne Fremdeinwirkung, kaputt.",Qualität
49,"Keine Neuware! Ein Schuh wurde anprobiert/getragen. Dies ist klar an Schnürsenkeln, Zunge usw. erkennbar. Die Schuhe wurden in der ""Frustfreien Verpackung"" von Amazon versendet. Also ohne Orginalverpackung. Die Idee der ""Frustfreien Verpackung"" ist eine gute Idee um Verpackungsmaterial einzusparen. ABER: hier wurde aber benutze !!! Ware als Neuware verpackt/verkauft. Sehr, sehr dreist.",Qualität
50,"Der Gummistiefel ist zwar wirklich sehr leicht, aber eher ein Plastik Schuh. Ich dachte für den Herbst ohne den Innenstoff zum anziehen, aber mein Sohn hatte komplett nasse Schweißfüße bekommen. Mit dem Innenstoff sind die Stiefel nur für schmale Füße geeignet. Das war leider ein Fehlkauf für uns...",Qualität
51,Wir sind beim Auspacken erschrocken. Sie stanken und wirkten wie aus Gummi. Gingen sofort zurück. Dabei gab es kein Problem.,Qualität
52,"Leider wurde der Schuh, nachdem ich ihn ein paar Mal getragen habe, undicht. Seitdem habe ich jedes Mal, wenn es regnet, nasse Füße. Blöd, weil die Schuhe für die kalten Jahreszeiten gekauft wurden, in denen es halt auch mal regnet. Geld, das ich besser in einen anderen Schuh investiert hätte. Schade!",Qualität
53,Der Schuh ist soweit i.o. Bin jahrelanger guter Kunde von Adidas und immer sehr zufrieden damit. Aber leider bekomme ich die Schnürsenkel bei diesem Model nicht zu.Damit Ist der Schuh nix wert !!! Also wer einen Schuh will der nicht zu verschließen geht dann kauft diesen :-),Qualität
54,Das Fell ist von billigster Qualität. Beim ersten Mal tragen hängt es schon an den Socken fest.,Qualität
55,"Vorweg muss ich sagen, dass ich den Reebok Classic Leather jetzt nicht zum ersten mal gekauft habe. Aber dieses mal ist es irgendwie anders als bei seinen Vorgängern. Dieses Wohlfühl Gefühl beim ersten Anprobieren wollte sich dieses mal gar nicht so recht einstellen. Es fühlt sich irgendwie nicht echt an. Ich will jetzt nicht unterstellen, dass es eine Fälschung sein könnte, aber der Schuh ist bei weitem nicht mehr so bequem und weich wie er vorher mal war. Irgendwas ist da am Material und an der Sohle zum Nachteil verändert worden. Daher von mir leider keine Kaufempfehlung.",Qualität
56,Ich hatte den gleichen Schuh bereits in 39 in einer anderen Farbe der gut gepasst hat. Diesmal ist die 39 zu klein. Es wurde eine Seite in 39 und eine in 37 geliefert und die Schnallen sehen total ramponiert aus. Somit geht alles wieder zurück.,Passform
57,Leider sind die Schuhe und Füße weiterhin gleich feucht in den Schuhen. Jedoch weißt das Holz das Wasser ab und saugt es nicht wie normale Sohlen auf. Daraus entsteht dann ein kleiner unangenehmer See im Schuh. Somit ist das Tragen von Schuhen ohne Sohle angenehmer.,Qualität
58,"War vom Preis Leistung Verhältnis begeistert. Gute Passform, weichere Sohle, richtig angenehm und robust.. Nach einer Wintersaison ( Anfang 2018) und jetzt im Herbst (insgesamt 4 Monate getragen) löst sich bei beiden Schuhen im vorderen Bereich an der Spitze die Sohle (oben) Das heisst: Feuchtigkeit bzw Nässe kann eintreten. Vieleicht wurde hier mit Kleber gespart? Auf jeden Fall zum Ende hin entäuschend und nicht zu empfehlen.",Qualität
59,"Würde diesen Schuh nie wieder kaufen, er war nach 4 Wochen Tragen kaputt . Sohle löste sich ab und an den Seiten eingerissen.",Qualität
60,Schlechte Qualität. Bei der Kleingeldtasche ist die Naht nach 2 Wochen aufgerissen.,Qualität
61,Die Sohle war ziemlich schnell durchgelaufen 😞 und daher kann ich sie nicht empfehlen. Ich würde sie für diesen Preis nicht nochmal kaufen,Qualität
62,"Meine gelieferten Schuhe sind nicht Original. Das Fähnchen mit dem QR-Code fehlt. Es gibt auch keinen Aufkleber mit QR-Code. Auch der nach der Reklamation gelieferte Ersatzschuh ist kein Original. Dass Amazon (ich habe direkt dort gekauft, nicht über Marketplace) Fälschungen verkauft, hätte ich nicht erwartet, zumal auch nicht jeder Kunde die Echtheit prüft. Auch ich bin nur durch Zufall darüber gestolpert. Auspacken, einpacken, zweimal zur Post rennen, bin zum ersten Mal von Amazon genervt. Schade. Ich bin schon lange Amazon-Kunde, früher gabs eigentlich nie Reklamationen,aber in letzter Zeit muss ich öfter Gekauftes zurückschicken.",Qualität
63,"Nicht empfehlenswert, brauche sie nur zum duschen auf Arbeit doch sie sind einfach kaputt gegangen. Erst löste sich eine Seite einen Tag später die andere. Sehr enttäuscht",Qualität
64,"Das Produkt ist leider nie angekommen ???!! Den Verkäufer kann man leider nicht anderweitig kontaktieren, also bleibt mir nix anderes übrig, als eine negative Bewertung zu hinterlassen..",Lieferung
65,"Sie sehen schön aus. Das ist aber leider auch das einzige positive was ich berichten kann. Das Leder erscheint minderwertig. Schon nach kurzem tragen ergibt sich nicht dieser typische Knick am Spann sondern eher schiebt sich das Leder irgendwie auseinander.....kann ich gar nicht beschreiben,hätte ich bei noch keinem anderen Schuh jemals. Ausserdem ist der Schaft total steif, dadurch drückt er hinten an der Wade und an der Sehne so sehr dass ich nach 2Stunden tragen beeindruckende und sehr schmerzhafte Scheuerstellen hatte. Ich habe wirklich keine empfindlichen Füsse, aber dieser Schuh grenzt für mich an Körperverletzung. Ein Stern weil es ja leider nicht möglich ist null zu geben.",Qualität
66,"Die große war nicht in Ordnung, und war schief",Passform
67,Der Schuh sieht sehr billig verarbeitet aus. Es sind überall Klebereste am Schuh,Qualität
68,"Leider sind die Schuhe einfach ""geschrumpft"" (nach ca. 6 Wochen!),habe sie am Balkon gelassen,nun kann man sie leider nicht mehr tragen. Keine Ahnung was da los ist,Möglichkeit zur Reklamation gibt es anscheinend nicht.",Qualität
69,Leider hat der/die Schuh/Sandalette eine sehr große Form. Passt nicht,Passform
70,Habe mir die Schuhe bestellt und sind nie angekommen bei mir und der Verkäufer behauptet erst hab ich es bekommen dann nicht zustellbar wegen Adresse dann hat er mir irgendeine DHL Nummer geschickt wo nicht mal existiert bin gespannt ob ich überhaupt mein Geld zurück bekomme 😡😡😡,Lieferung
71,"Leider haben wir die bestellte Ware nicht erhalten. Geliefert wurde zwar der richtige original Karton, aber leider mit dem falschen Schuh darin. Wir haben diesen dann wieder zurück gesendet.Nach langer Bearbeitungszeit wurde uns dann zwar der Schuh wieder gutgeschrieben, aber die Versandkosten leider einbehalten. Erst nach dem wir reklamiert hatten, wurde dann der Versand gutgeschrieben.",Lieferung
72,Die Schuhe habe ich gleich wieder zurückgeschickt. Als ich den Karton aufmachte kam mir ein unerträglicher Gestank entgegen. Entweder war es die Gummisohle oder der Kleber.,Qualität
73,Achtung: Nach nur einem halben Jahr löste sich bereits das Futter. Ein Umtausch wurde nicht akzeptiert. Schade - wenn man den Preis beachtet!,Qualität
74,"Im September 2016 die Zehentrenner gekauft, im Juni 2017 ein Seitenriemen ausgerissen. Problemlos kostenfrei Ersatz erhalten ,leider im Juni 2018 wieder das selbe. Die Riemen sind nur eingesteckt verklebt.",Qualität
75,Ich habe das Paket nicht erhalten,Lieferung
76,"Ich habe mir drei verschiedene Größen bestellt und alle waren nicht optimal verarbeitet. Nike-Zeichen an der Rückseite des Schuhs ist krumm und der Stoff ist an einigen Stellen arg ausgeblichen. Zudem Kleberückstände an der Spitze. Schuh kam nicht in einem Original Nike-Karton. Ich Zweifel hier leider an, dass die Ware Original ist. Daher alle drei Paare zurück!",Qualität
77,Nach 9 Wochen hinüber.,Qualität
78,Leider kein Original Vans sneaker sehr schade deswegen ging er zurück! Der Versand war schnell deswegen vergebe ich einen Stern,Qualität
79,"Hallo,wie kann ich Verkäufer kontaktieren, das Pakt kam nie an?",Lieferung
80,"Da muss man noch die Rücksendung bezahlen, da die Größe falsch angegeben wurde.",Passform
81,Sehr unbequem man kann darin nicht laufen,Qualität
82,"Leider schickt Amazon hier Fälschungen der Originalen Converse Chucks raus, bin sehr enttäuscht!",Lieferung
83,"Nach 10 Mal tragen bereits seitlich defekt. Rücksendung wurde abgelehnt. Würde da nichts kaufen. Hinterher ist man schlauer. Würde gar keinen Stern vergeben wenn es ginge....mies, total mies...",Qualität
84,"Empfindet natürlich jeder anders, für 50€ hab ich mehr erwartet... Da ich persönlich finde, dass sich der Betrag für Schuhe im Mittelfeld bewegt, hätte es auch ein gut verarbeitetes Produkt sein sollen. Ich bin enttäuscht, Größe nicht optimal, Material fühlt sich sehr hart an, an sämtlichen Stellen gelbe Klebereste und die Sohle ist kaum bis gar nicht biegbar... Schuhe gingen zurück... Hinzuzufügen ist aber, dass die Rücksendung ohne Probleme verlief, Geld wurde zügig zurückerstattet...",Qualität
85,Es wurde eine falsche Größe eine Nummer zu groß geliefert und nach schriftlichen anfragen auf Umtausch gab es von der Firma bis heute keine Antwort. Somit stehen die Schuhe bei mir zu Hause ungenutzt zum Umtausch bereit. Wollte eine doppelte Bezahlung vermeiden. Bin Entäuscht dass sich die Firma nicht gemeldet hat.,Lieferung
86,"Schuh passt wie angegossen, nur das an und ausziehen bereitet große Probleme",Passform
87,"Kann ich überhaupt nicht empfehlen. Die Schuhe sind so komisch verpackt, dass sie vorne so aufgedreht waren. Das lässt sich nicht mehr zurückbiegen. Meine Tochter weinte immer, da ihre Zehen dann verbogen waren.",Lieferung
88,Der Stiefel ist für die Übergröße sehr schmal geschnitten!!! Passt also für meine Zwecke nicht! Da die Rücksendekosten zu tragen sind-bitte genau abwägen ob man das Produkt von diesem Shop kaufen will!,Passform
89,Die Schuhe sind nie bei mir angekommen . Amazon hat dann das Geld erstattet . Bestellt lieber nicht dort. Super ärgerlich so lange zu warten und dann nix zu bekommen,Lieferung
90,Ich kann leider dazu noch nichts sagen da ich die Tasche noch nicht bekommen habe. Garantiertes Lieferdatum 29.12. Naja ist leider nicht da und Versand fand durch Hermes statt werde nichts mehe bestellen was mit hermes geliefert wird!!,Lieferung
91,Nach etwas mehr als 12 Monaten (intensiver Verwendung) sind die Versen des Schuhs aufgerissen und damit ist der Schuh unbrauchbar. Für ein Gummistiefel mit diesem Preis absolut nicht tolerierbar!,Qualität
92,"Nicht viel besser als Schlapfen von Deichmann: links und rechts und ungleich verarbeitet, Sohle mit weichem Material unterfüttert, drückt aber im Zehenbereich trotzdem. Verschluss ist schief zu kletten, schaut nicht gut aus. Und, ganz wichtig: ich habe mich nicht wohlgefühlt. Kommen an die von Rohde nicht heran. Kann ich leider nicht weiterempfehlen.",Qualität
93,"Ich habe jetzt rieker Zehentrenner blau, Größe 44 gekauft. Eine Wohltat sie zu tragen. Die Größe 43 schwarz hat nur Schmerzen im Zehenbereich verursacht, da der Steg viel zu hart ist. mfg M. Kurze",Passform
94,Hätte innerhalb von zwei Tagen ankommen sollen. Lieferdatum wurde mehrmals verschoben...und sowas nennt sich Prime...,Lieferung
95,Tolle farben gute marke doch dieses paar schlecht verarbeitet lässt sich schwer binden Nicht der übliche gute salomon schuh,Qualität
96,"Der Schuh ist insgesamt sehr eng geschnitten. Die Verarbeitung erscheint gut. Nach dem ersten Tragen bekam ich eine Blase am Spann (Druckstelle!). Nach einem weiteren Versuch schmerzten meine Zehen derart, dass ich einige Tage nicht Walken konnte. Der Schuh scheint viel zu schmal. Mit Modellen anderer Hersteller hatte ich bis zu diesem Zeitpunkt keinerlei Probleme. Ich musste den Terrex retournieren.",Passform
97,"Die von mir bestellten Schuhe sind mir nicht geliefert worden. Laut Sendungsverfolgung liegen die seit drei Wochen in Hamburg bei DHL. Wenn ich DHL schreibe, dann wird mir gesagt das von der Absender und nicht der Empfänger dies reklamieren kann. Als ich dann auf Erstattung bei Amazon gedrückt habe, habe ich einen Code zugesendet bekommen mit dem ich die von mir bestellte Ware zurücksenden kann. Geht ja aber nicht weil ich sie nicht bekommen habe! Der Kaufpreis ist von meinem Konto abgebucht worden und ich bekomme ihn erst erstattet wenn ich nicht erhaltenen Schuhe zurücksende. Ich fühle mich mehr als betrogen und angezockt!",Lieferung
98,"Totaler Mist. Bei mir ist nach einmaligem tragen direkt ein Stück Plastik, was am Absatz befestigt war, abgefallen. Im Endeffekt habe ich 6 Euro erstattet bekommen was sich für Insgesamt (mit Versand) für ca. 20 € die ich bezahlt habe überhaupt nicht lohnt.",Qualität
99,Ich hatte mir von den ONEMIX-Laufschuhen ein Paar in rot und ein Paar in orange gekauft: bei beiden (!!) Paaren war schon nach nur ca. 100 km GEHEN der Stoff im Fersenbereich durchgescheuert :-(((,Qualität
100,Tschuldigung aber wann kommen mein bestellen,Lieferung
101,"Ich muss mich leider leider hier vielen vorangegangenen Meinungen anschließen. Das ist für mich keine bekannte Timberland Qualität und die Sohlen machen so schreckliche Töne, das kann man sich nicht vorstellen. Schade eigentlich, weil der Schuh an sich recht schick ist. Aber ich kann das so nicht empfehlen",Qualität
102,Totaler Fehlkauf.In rechten Schuh läuft komplett vorn das Wasser herein.,Qualität
103,Schlechte Verarbeitung,Qualität
104,der Schuh ist zu eng geschnitten,Passform
105,"Das Foto auf der Angebotsseite hat mich dazu verleitet diese Tasche zu bestellen. Schon der chemische Geruch haut einen um und das 'Leder' ist sehr dünn, alles in allem sieht die Tasche ganz einfach billig aus, ist schade, denn im Inneren ist sie gut genäht mit vielen Innentaschen. Leider ist das eine Rücksendung.",Qualität
106,Beim reinschlüpfen ist die hintere Verstärkung an der Ferse kaputt gegangen.,Qualität
107,"Die angenähte Fee-Figur ist nach ein paar Tagen komplett abgefallen und schon nach kurzer Zeit (ca 2 Monaten) sind an beiden Fußspitzen Löcher entstanden, obwohl, der Schuhe passt, d.h. NICHT zu klein ist. Nicht empfehlenswert.",Qualität
108,Die bestellten roten Chucks sind ein Plagiat. Die Schrift ist eine völlig andere.,Qualität
109,"Das Leder ist zu dünn, daher als Schneestiefel nicht sonderlich empfehlenswert.",Qualität
110,"Der größte Schrott! Habe das Modell wie im Bild abgebildet bestellt, bekommen habe ich allerdings ein komplett anderes!! Statt Größe 30 Größe 37, statt pink, mit Klettverschluss und Lack Elementen, weiß geschnürt und ohne Lack! Ich dachte zuerst ich hätte versehentlich etwas angeklickt und es wäre nicht meine Bestellung! Nie wieder lasst bloß die Finger davon! Ich hoffe, dass ich mein Geld zurück erstattet bekomme",Lieferung
111,"Wie soll ich einen Schuh bewerten, denn ich gar nicht erhalten habe. Diese Bestellung ist kein Stern Wert: Erst ist das Paket unterwegs, Dann wird es storniert durch Verkäufer und jetzt soll ich bewerten?",Lieferung
112,"Größe 44-45 bestellt aber die Schuhe die ich erhalten habe sind maxima ca. Größe 41. Qualität und Verarbeitung sind ok, aber das bringt irgendwie nicht viel wenn der Schuh dann meinem Mann 4 Schuhgrößen zu klein sind.",Lieferung
113,Miserabel. Warte bis heute drauf. Keine Reaktion.,Lieferung
114,"Lieferung bin Von 24h top... Aber Tragen der Schuhe nach genau Einem Tag löste sich die Sohle ab und das, zum weiteren ist der Ganze Schuh aus einem Material wo KEINE Luft Rein NOCH Raus kommt.. 30min Laufen und Die Füße oder Soken sind Nass",Qualität
115,2 paar Schuhe bestellt beide in falscher Größe geliefert. Sogar der linke und der rechte haben sich bei einem Paar in der Größe unterschieden.,Lieferung
116,Artikel nie erhalten. Einmalige Antwort vom Verkäufer. Danach war das Email Postfach ungültig! Bestellt bei DJT Sneaker and fashion. Sehr ärgerlich.,Lieferung
117,"Wäre ein Ostergeschenk gewesen, trotz mehrmaliger Ankündigung der Lieferung, sind die Schuhe nach 2 Wochen immer noch nicht eingetroffen. Sehr enttäuschend!",Lieferung
118,Der Rucksack ist nicht so wie auf den Fotos. Die Träger sind nicht aus Leder sondern aus Textil. Finde es echt schade das man die Ware nicht so bekommt wie es in den Fotos auch zu sehen ist. ÄRGERLICH 😡😡,Qualität
119,Leider nach 10-20 mal tragen ist die Sohle gerissen. Danach könnte der Schuh in die Tone.,Qualität
120,"Der Artikel kam nicht an, das Geld wurde nicht erstattet, und der Verkäufer reagiert nicht auf Nachrichten!! Werde dort nichts mehr bestellen!!",Lieferung
121,"Wie habe ich mich gefreut, als die Hausschuhe ankamen. Die Freude währte nicht lange. Bereits nach drei Monaten geringer Beanspruchung gerieten die Schuhe aus der Form, nach nur einem knappen Jahr waren sie nicht kaputt gegangen, sondern buchstäblich zerfallen. Da war ich fassungslos.",Qualität
122,Schuh fällt leider extrem klein aus. Gut 1 1/2 bis 2 Größen weichen bei Damengrößen ab.,Passform
123,Die Sohle war schnell kaputt...,Qualität
124,Der Schuh ist sehr leicht und die Sohle ist sehr weich jedoch löste ich bei mir nach 2 Monaten die Sohle an der Klebestelle der Ferse ab. Das ist nach so kurzer Zeit nicht akzeptabel.,Qualität
125,"Ich habe den Schuh in 43 bestellt, normalerweise trage ich 42. Gepasst hätte er genau. Er war auch super weich und bequem. Leider konnte ich den Schuh nicht behalten, weil er ganz fürchterlich gestunken hat.",Qualität
126,das paket ist nie angekommen!,Lieferung
127,Leider habe ich die komplett falschen Hausschuhe bekommen. Es waren Stiefel und mit den Pantoletten gar keine Ähnlichkeit. Somit hatte ich jetzt nur Mühe mit dem Zurückschicken.,Lieferung
128,"Wer ""billig"" kauft, kauft teuer. Nach nicht mal zwei Monaten war der Absatz kaputt.",Qualität
129,Hi ich habe bis heute keine ware erhalten wie lange mus ich noch warten . mfg beka,Lieferung
130,"Ware noch nicht erhalten, im voraus bezahlt und vom Konto gezogen!",Lieferung
131,Ich habe es nur 5 Tagen getragen und die sehen so schlecht aus wie nach ein Jahr.,Qualität
132,"Ich bin sehr unzufrieden. Der Artikel rutscht unter den Füßen weg und ist nichf stabil. Gute Idee, aber ein Fehlkauf.",Qualität
133,"Hat keine Vorteile gegenüber meinen alten Einlagen,nur wesentlich teurer,das Geld kann man sich sparen.",Qualität
134,Ich schicke die Schuhe zurück weil in den Schuhen kein Schild dran war,Qualität
135,"Zu groß, deshalb Rücksendung angefordert.",Passform
136,Nach nicht mal einem Monat gerissen. Ein Produkt für Kinder sollte meiner Meinung nach strapazierfähiger sein.,Qualität
137,"Optisch wissen die Schuhe durchaus zu gefallen, tragen sich auch gut. Leider löst sich nach 2,5 Monaten die Sohle, just 10 Tage nach Ablauf der Rücknahme durch den Verkäufer. Anscheinend sind die Schuhe nur mangelhaft gefertigt, weshalb ich davon abrate und mir auch keine weiteren dieser Art kaufen werde.",Qualität
138,"Sind definitiv nicht wasserfest, beim ersten Tragen richtig nasse Füße! Ich habe die Schuhe eine Nummer größer gekauft, passt gut!",Qualität
139,Es handelt sich um eine Fälschung!,Qualität
140,Bestellte Größe 40 fällt komischerweise viel zu klein aus! Bestelle immer Clarks Funny dreams und normal passen die immer. Musste die Schuhe zurückschicken!,Passform
