id,review_body,topic
1,Leider nach einmal waschen ausgeblichen. Nach einem mal waschen sah es aus als wäre es 10 Jahre alt und hatte 1000e von Waschgängen hinter sich :( echt schade !,Qualität
2,"zunächst macht der Anker Halter einen soliden Eindruck. Die Magnethalterung ist auch brauchbar. Was gar nicht geht ist die Tatsache, dass die Halterung für runde Lüftungsdüsen, anders als vom Hersteller beschrieben, nicht geeignet ist! Ständig fällt das Smartphone runter. Durch das häufige Wiederanbringen ist nun auch die Gummierung kaputt, was zur Folge hat, dass die Lüftungsdüse schön zerkratzt wird! Also Schrott, der auch noch mein Auto beschädigt! Für mich ist das nicht brauchbar!",Qualität
3,Siegel sowie Verpackung war beschädigt und ware war gebraucht mit Verschleiß und Fingerabdrücke. Zurück geschickt und bessere qualitativere Artikel gekauft.,Lieferung
4,Habe dieses Produkt NIE erhalten und das Geld wurde nicht rückerstattet!!!!!!!,Preis
5,Die Träger sind schnell abgerissen,Qualität
6,Druckbild ist leider nicht akzeptabel.,Qualität
7,🤬🤬🤬 Stoff löst sich nach kurzer Zeit,Qualität
8,Beim zweiten Gebrauch bereits undicht!!!,Qualität
9,Die Lieferung war prompt.,Lieferung
10,"Bin überhaupt nicht zufrieden. Das Handy ist mir einmal kurz, aus minimalen Höhe ca 30cm, auf den Tisch gefallen und die Folie ist schon wieder kaputt.",Qualität
11,"Leider ist hier die Lieferung komplett schief gelaufen. Die Ware kam zerbrochen bei mir an. Die Rücksendung ging über den amazon-Locker. Der Verkäufer hat die Ware nie zurückerhalten und ich musste trotzdem bezahlen. Sehr, sehr ärgerlich!",Lieferung
12,"Leider waren die Socken zu klein, also habe ich sie zurück gesendet. Angeblich sind sie nicht angekommen, also habe ich auch keine Gutschrift erhalten. Nur unverschämte und absolut kundenunfreundliche Antworten erhalten.",Lieferung
13,"Dies hätte die hohe preis gegenüber die billige Exemplare die es auch bei Amazon gibt gerechtfertigt. Leider ist die ganze Uhr aus schnöden Plastik. Schade und verarschung. Technik und Funktion einwandfrei, schöne Vogelstimmen aber halt billigplastik, wie alle andere auch.",Preis
14,Ich sehe mit diesem Teil immer noch gleich fett aus. Für das Geld ein echter Reinfall,Preis
15,"Mir hat nicht gefallen, dass vieles schon beschädigt war.",Qualität
16,Dieser Dichtring ist völlig ungeeignet für solche Artikel. Mussten Alle Artikel wieder zurück schicken.,Qualität
17,Das Spiel hing sich auf. Für den Preis no go.,Preis
18,Im Glasgefäß befanden sich schwarze Gummikrümel. Das Glasrohr hat scharfe Grate an beiden Seiten. Beide Enden haben kleine Sprünge. Der Gummistopfen riecht unangenehm.,Qualität
19,Beim Zermahlen von zum Beispiel Himalaya Salz ist nach einiger Zeit der Benutzung ein Abrieb des schwarzen Kunststoffes aus der Mühle zwischen dem zermahlen Salz zu finden. Es riecht auch entsprechend nach Kunststoff Abrieb. Absolut gesundheitsschädlich! Absolut minderwertig!,Qualität
20,"Wird auch nach 24 h nicht elastisch selbst nach 48h nicht , bleibt verformbar und reißt wie beim auspacken 👎",Qualität
21,"Diese Schutzfolie ist leider zu klein (Höhe passt, aber an den Seiten zu eng). Leider nur 1 Stern, da gibt es bessere Produkte.",Qualität
22,taugt nicht viel. verklemmt bei Benutzung. Waschmaschine schaltet ab wegen fehlendem Wasserzulauf. Ventil hängt.,Qualität
23,"Leider kann ich nichts zu der Box sagen. Sie kam schon beschädigt bei mir an, einige kleine Teile waren abgebrochen. Schicke sie nun zurück, werde sie auch nicht nochmal bestellen. Schade.",Lieferung
24,"einfach nur Edelschrott. Dafür ist schon ein "" Stern"" zuviel",Qualität
25,Der Preis ist viel zu hoch.,Preis